transaction_text,category
BharatPetroleumBangalore2680,Fuel
Nykaa Ch3nnai 218,Shopping
Nykaa Hyderabad 2336,Shopping
Fortis Kolkata 1242,Medical
CardAnnualFeeMumbai654,Banking Charges
ID-Flipkart Kolkata 1956,Shopping
google cloud kolkata 1135,Online Services
Ajio Mumbai 4784 txn,Shopping
McDonalds Pune 867,Food & Drinks
Card Annual Fee Bangalore 4414,Banking Charges
Reliance Fresh Chennai 3049,Groceries
ApolloPharmacyMumbai4306,Medical
Card Annual Fee Bangalore 1797,Banking Charges
Adobe Bangalore 652,Online Services
Hotstar Hyderabad 4708 txn,Entertainment
Amazon Prime Hyderabad 2124,Entertainment
Airtel Recharge Chennai 999,Bills & Recharge
MakeMyTrip Mumbai 3553,Travel
Card Annual Fee Pune 1591,Banking Charges
Netflix Kolkata 2310,Entertainment
McDonalds Hyderabad 3238,Food & Drinks
MaxHospitalChennai4159,Medical
Ola Hyderabad 3181,Travel
ATM Withdrawal Fee Mumbai 4128,Banking Charges
Canva Delhi 4672,Online Services
Card Annual Fee Bangalore 99,Banking Charges
Myntra Bangalore 2483 txn,Shopping
DMart Pune 1737,Groceries
Flipk@rt Mumb@i 3648,Shopping
IRCTC Pune 1766 txn,Travel
Amazon Prime Kolkata 4723,Entertainment
Jio Recharge Bangalore 1684,Bills & Recharge
Max Hospital Hyderabad 4364,Medical
late payment fee delhi 745,Banking Charges
Shell Petrol Pump Delhi 3654,Fuel
DMart Mumbai 3380,Groceries
ID-BigBasket Delhi 2965,Groceries
Indian Oil Chennai 2777,Fuel
Canva Pune 1745,Online Services
Burger King Bangalore 4030,Food & Drinks
Zoom Subscription Pune 873,Online Services
RedBus Pune 1248,Travel
Bharat P3trol3um Bangalor3 683,Fuel
ID-Airtel Recharge Hyderabad 1782,Bills & Recharge
Myntra Kolkata 4444,Shopping
Shell Petrol Pump Delhi 1197,Fuel
PharmEasy Hyderabad 224,Medical
SonyLiv Mumbai 4367,Entertainment
Water Bill Hyderabad 1956,Bills & Recharge
Late Payment Fee Delhi 1775,Banking Charges
Apollo Pharmacy Pune 2669,Medical
Spencers Kolkata 974,Groceries
burger king delhi 4635,Food & Drinks
Zoom Subscription Pune 1123,Online Services
PharmEasy Delhi 1070,Medical
Shell Petrol Pump Kolkata 3894,Fuel
PharmEasy Kolkata 1191,Medical
Shell Petrol Pump Mumb@i 1453,Fuel
Sp3nc3rs Bangalor3 3269,Groceries
ATM Withdr@w@l Fee Pune 2533,Banking Charges
Late Payment Fee Kolkata 4289,Banking Charges
Vodafone Bill Hyderabad 4579,Bills & Recharge
IndiGo Kolkata 123,Travel
Late Payment Fee Hyderabad 2942,Banking Charges
Adobe Mumbai 506,Online Services
Canva Bangalore 1910,Online Services
Indian Oil Chennai 2246,Fuel
late payment fee hyderabad 2459,Banking Charges
Adobe Hyderabad 2217,Online Services
RedBus Bangalore 3059,Travel
Amazon Pune 2834,Shopping
1mg Kolkata 2620,Medical
ccd kolkata 2194,Food & Drinks
Flipkart Chennai 3871,Shopping
Apollo Pharmacy Kolkata 2137,Medical
Ajio Bangalore 3648,Shopping
Apollo Pharmacy Chennai 1450,Medical
BookMyShow Chennai 2931,Entertainment
AjioBangalore1699,Shopping
IndiGo Mumbai 3187,Travel
mcdonalds mumbai 2453,Food & Drinks
Uber Mumbai 4881,Travel
Nature's Basket Pune 3554,Groceries
Nature's Basket Pune 2702,Groceries
Nature's Basket Kolkata 1372,Groceries
Fortis Bangalore 899,Medical
Hotstar Kolkata 1528,Entertainment
Adobe Kolkata 3986,Online Services
Tata Cliq Kolkata 806,Shopping
Bh@r@t Petroleum Pune 772,Fuel
WaterBillMumbai1693,Bills & Recharge
Ajio Delhi 3871,Shopping
Adobe Pune 486,Online Services
Air India Pune 619,Travel
RedBus Pune 1743,Travel
ATMWithdrawalFeeDelhi1286,Banking Charges
ID-Reliance Fresh Pune 2483,Groceries
IndiGoBangalore4607,Travel
Microsoft 365 Kolkata 200,Online Services
Burger King Mumbai 123,Food & Drinks
Starbucks Mumbai 1281,Food & Drinks
Burger King Delhi 2114,Food & Drinks
Nykaa Chennai 925,Shopping
Hotstar Pune 4480,Entertainment
Shell Petrol Pump Mumbai 69,Fuel
BookMyShow Mumbai 4659,Entertainment
Tata Cliq D3lhi 4753,Shopping
IRCTCChennai2887,Travel
Zomato Bangalore 1191,Food & Drinks
ID-Google Cloud Hyderabad 1360,Online Services
Late Payment Fee Delhi 1668,Banking Charges
Reliance Fresh Mumbai 4436,Groceries
Zomato Chennai 1072,Food & Drinks
Starbucks Chennai 4480,Food & Drinks
Bh@r@t Petroleum Kolk@t@ 538,Fuel
bigbasket kolkata 88,Groceries
ID-Max Hospital Bangalore 4606,Medical
Shell Petrol Pump Kolkata 2814,Fuel
IndianOilChennai642,Fuel
Air India Delhi 1226,Travel
Indian Oil Bangalore 4058,Fuel
Water Bill Mumbai 388,Bills & Recharge
Swiggy Kolkata 1800,Food & Drinks
Card Annual Fee Chennai 2197,Banking Charges
Jio R3charg3 Hyd3rabad 1043,Bills & Recharge
uber hyderabad 1123,Travel
Airtel Recharge Pune 4330,Bills & Recharge
PharmEasy Delhi 4714,Medical
Jio Recharge Delhi 3897,Bills & Recharge
SonyLiv Delhi 794,Entertainment
Spencers Mumbai 1489,Groceries
Nykaa Delhi 216,Shopping
Amazon Mumbai 4165,Shopping
RedBus Bangalore 3659,Travel
Bharat Petroleum Delhi 2176,Fuel
IRCTC Chennai 3084 txn,Travel
ID-Microsoft 365 Delhi 84,Online Services
google cloud chennai 2591,Online Services
Natur3's Bask3t Ch3nnai 4119,Groceries
St@rbucks Kolk@t@ 4720,Food & Drinks
Adobe Hyderabad 3689,Online Services
Zoom Subscription Delhi 3293,Online Services
Microsoft 365 Hyderabad 1885,Online Services
HotstarMumbai1397,Entertainment
Late Payment Fee Chennai 4018,Banking Charges
Late Payment Fee Bangalore 2314,Banking Charges
Zoom Subscription Pune 982,Online Services
Canva Kolkata 657,Online Services
Fortis Bangalore 2716,Medical
DMart Chennai 842,Groceries
ATM Withdrawal Fee Kolkata 862,Banking Charges
Myntra Kolkata 1994,Shopping
Ajio Delhi 1079,Shopping
Microsoft 365 Mumbai 2824,Online Services
MakeMyTrip Bangalore 1936,Travel
Bharat Petroleum Mumbai 1917 txn,Fuel
Netflix Chennai 1329,Entertainment
Max Hospital Chennai 3467,Medical
Canva Mumbai 602,Online Services
SonyLiv Bangalore 4778,Entertainment
Air India Kolkata 2915,Travel
Airtel Recharge Kolkata 2045,Bills & Recharge
SonyLiv Chennai 2834,Entertainment
Ajio Chennai 1027,Shopping
Ola Pune 2379,Travel
Airtel Recharge Hyderabad 2010,Bills & Recharge
ID-Vodafone Bill Hyderabad 2555,Bills & Recharge
ID-Indian Oil Chennai 2806,Fuel
BookMyShow Mumbai 4538,Entertainment
ID-Fortis Mumbai 59,Medical
1mg bangalore 3421,Medical
Zomato Chennai 3209,Food & Drinks
IRCTC Pune 2477,Travel
Max Hospital Pune 2656,Medical
PharmEasy Mumbai 1930,Medical
Zomato Mumbai 1105,Food & Drinks
Netflix Pune 1087,Entertainment
BigBasket Bangalore 1133,Groceries
Fortis Delhi 3049,Medical
Nature's Basket Bangalore 2514 txn,Groceries
Canva Hyderabad 4758,Online Services
Google Cloud Bangalore 116,Online Services
IndiGo Hyderabad 4489,Travel
ShellPetrolPumpMumbai1412,Fuel
Amazon Bangalor3 4433,Shopping
Zomato Delhi 955,Food & Drinks
Flipkart Hyderabad 3709,Shopping
Air India Chennai 3407 txn,Travel
BookMyShowBangalore939,Entertainment
CCD Kolkata 2021,Food & Drinks
KFC Kolkata 1712,Food & Drinks
Netflix Chennai 2353,Entertainment
IRCTC Hyd3rabad 3026,Travel
Indian Oil Chennai 1616,Fuel
BigBask3t Hyd3rabad 1690,Groceries
Bank Service Charge Bangalore 4960,Banking Charges
Google Cloud Bangalore 3493 txn,Online Services
1mg Pune 65,Medical
Indian Oil Bangalore 2062,Fuel
IRCTC Bangalore 190,Travel
Water Bill Chennai 1625,Bills & Recharge
ATM Withdrawal Fee Hyderabad 574,Banking Charges
Ajio Bangalore 1466,Shopping
BookMyShow Mumbai 4004,Entertainment
Apollo Pharmacy Delhi 2867,Medical
Hotstar Bangalore 171,Entertainment
Nature's Basket Mumbai 2249,Groceries
Shell Petrol Pump Delhi 2737,Fuel
Indian Oil Hyderabad 3843 txn,Fuel
HP Petrol Pump Kolk@t@ 4611,Fuel
ID-Swiggy Chennai 4100,Food & Drinks
ID-Amazon Prime Kolkata 3193,Entertainment
IndiGo Kolkata 2397,Travel
Vodafone Bill Pune 4248 txn,Bills & Recharge
Google Cloud Chennai 533,Online Services
SonyLiv Delhi 4159,Entertainment
ID-Swiggy Kolkata 154,Food & Drinks
Reliance Fresh Hyderabad 979,Groceries
MakeMyTrip Hyderabad 3407,Travel
Shell Petrol Pump Pune 4859,Fuel
HP Petrol Pump Kolkata 4154,Fuel
ID-Nykaa Pune 4165,Shopping
electricity bill mumbai 4076,Bills & Recharge
Card Annual Fee Pune 712 txn,Banking Charges
BigB@sket Chenn@i 1358,Groceries
MaxHospitalBangalore4910,Medical
Apollo Pharmacy Delhi 911,Medical
McDonalds Bangalor3 2254,Food & Drinks
Jio Recharge Bangalore 2236,Bills & Recharge
ATM Withdrawal Fee Chennai 2199,Banking Charges
late payment fee mumbai 3449,Banking Charges
ID-Indian Oil Chennai 646,Fuel
Indian Oil Hyderabad 4507,Fuel
Myntra Hyderabad 4848,Shopping
Flipkart Bangalore 3557,Shopping
Card Annual Fee Bangalore 4478,Banking Charges
Adobe Hyderabad 2247,Online Services
BigBasket Pune 1854,Groceries
IRCTC Delhi 2323,Travel
Nykaa Kolkata 2156,Shopping
Apollo Pharmacy Hyderabad 2939,Medical
Ajio Mumbai 440,Shopping
Reliance Fresh Pune 458,Groceries
DMart Bangalore 2536,Groceries
1mg Delhi 992,Medical
ID-Zoom Subscription Chennai 838,Online Services
IndiGoKolkata4417,Travel
Flipkart Bangalore 4745,Shopping
ID-Zoom Subscription Mumbai 1756,Online Services
BigBasket Chennai 1642,Groceries
Card Annual Fee Pune 1075,Banking Charges
Jio Recharge Pune 1933,Bills & Recharge
Netflix Chennai 573,Entertainment
Zoom Subscription Hyderabad 2790,Online Services
Burger King Mumbai 991,Food & Drinks
Shell Petrol Pump Delhi 1343,Fuel
Canva Bangalore 2245,Online Services
Card Annual Fee Pune 1131,Banking Charges
LatePaymentFeeHyderabad4915,Banking Charges
OlaDelhi4265,Travel
AdobePune413,Online Services
Zoom Subscription Kolk@t@ 581,Online Services
ID-PharmEasy Pune 951,Medical
ID-Late Payment Fee Hyderabad 4996,Banking Charges
dmart pune 4383,Groceries
BookMyShow Pune 1643,Entertainment
SonyLiv Pune 321,Entertainment
dmart chennai 54,Groceries
Fortis Delhi 4255,Medical
M@keMyTrip Chenn@i 854,Travel
reliance fresh chennai 2826,Groceries
ID-Swiggy Delhi 4743,Food & Drinks
BigBask3t Hyd3rabad 172,Groceries
SonyLiv Bangalore 2180,Entertainment
Max Hospital Hyd3rabad 2467,Medical
Spencers Delhi 4900,Groceries
Zomato Hyderabad 3338,Food & Drinks
Max Hospital Bangalore 1097,Medical
Myntra Delhi 126,Shopping
Uber Chennai 568,Travel
spencers mumbai 4290,Groceries
WaterBillBangalore4669,Bills & Recharge
Adobe Chennai 541,Online Services
Indian Oil Hyderabad 4406,Fuel
McDonalds Bangalore 1170,Food & Drinks
Nature's Basket Hyderabad 2533,Groceries
L@te P@yment Fee B@ng@lore 4880,Banking Charges
Starbucks Pune 4941,Food & Drinks
Nykaa Mumbai 1706,Shopping
Flipkart Kolkata 758,Shopping
CCD Delhi 2898,Food & Drinks
Ola Kolkata 1353,Travel
ID-Bharat Petroleum Pune 3850,Fuel
Amazon Prime Chennai 3849,Entertainment
Max Hospital Pune 4627,Medical
Vodafone Bill Kolkata 4968,Bills & Recharge
Indian Oil Chennai 4936,Fuel
BookMyShow Mumbai 1728,Entertainment
ATM Withdrawal Fee Pune 202,Banking Charges
Nykaa Bangalore 2651,Shopping
Burger King Mumbai 2870,Food & Drinks
Spencers Bangalore 2362 txn,Groceries
ID-Nykaa Chennai 2806,Shopping
Shell Petrol Pump Kolkata 1491,Fuel
Air Indi@ Mumb@i 2845,Travel
Fortis Pune 3115,Medical
Indian Oil Pune 2047,Fuel
Jio Recharge Hyderabad 4861,Bills & Recharge
Ajio Hyder@b@d 1147,Shopping
Nykaa Bangalore 995,Shopping
Indian Oil Delhi 2650 txn,Fuel
IndiGo Kolkata 3313,Travel
BankServiceChargeBangalore4744,Banking Charges
Bharat Petroleum Hyderabad 2656,Fuel
Am@zon Prime Hyder@b@d 1501,Entertainment
Indian Oil Kolkata 1491,Fuel
Max Hospital Pun3 2964,Medical
1mg Delhi 2307,Medical
Electricity Bill Kolkata 3228,Bills & Recharge
Indian Oil Mumbai 3161,Fuel
Uber Chennai 2725 txn,Travel
Amazon Prime Mumbai 1684,Entertainment
Starbucks Kolkata 4444,Food & Drinks
Starbucks Kolkata 4273,Food & Drinks
Myntra Bangalore 3392,Shopping
ID-Reliance Fresh Bangalore 1872,Groceries
Google Cloud Hyderabad 2771,Online Services
Microsoft 365 Bangalore 3414,Online Services
Amazon Prim3 Hyd3rabad 1990,Entertainment
SonyLiv Delhi 1568,Entertainment
Zoom Subscription Bangalore 3340,Online Services
BigBasket Kolkata 1736,Groceries
SonyLiv Hyd3rabad 529,Entertainment
DMart Bangalore 2841,Groceries
Spencers Mumbai 1584,Groceries
ID-Airtel Recharge Kolkata 3248,Bills & Recharge
Zoom Subscription Chenn@i 3766,Online Services
Netflix Kolkata 4907,Entertainment
McDonalds Delhi 3022,Food & Drinks
Max Hospital Pune 2327,Medical
Zomato Mumbai 405,Food & Drinks
Spencers Bangalore 1658,Groceries
Starbucks Hyderabad 4101,Food & Drinks
Spencers Kolkata 2030,Groceries
Fortis Kolk@t@ 2813,Medical
McDonalds Mumbai 1867 txn,Food & Drinks
MakeMyTrip Hyderabad 4061,Travel
IRCTC Bangalore 3987,Travel
Swiggy Chennai 1729,Food & Drinks
Burger King Bangalore 2516,Food & Drinks
Myntra Hyderabad 4425,Shopping
SonyLiv Delhi 2241,Entertainment
Uber Bangalore 4735,Travel
McDonalds Pune 3399,Food & Drinks
Reliance Fresh Hyderabad 1811,Groceries
Flipkart Hyderabad 2803,Shopping
Nature's Basket Bangalore 3357,Groceries
Bank Service Charge Bangalore 3692,Banking Charges
Ajio Bangalore 4125,Shopping
Shell Petrol Pump Pune 3865,Fuel
Starbucks Mumbai 56,Food & Drinks
1mg Mumbai 4924,Medical
Amazon Prime Kolkata 3556,Entertainment
Air India D3lhi 1355,Travel
CCD Bangalore 2625,Food & Drinks
1mg Bangalore 4734,Medical
Uber Pune 2658,Travel
BigBask3t D3lhi 4148,Groceries
Bank Service Charge Pune 2701,Banking Charges
McDonalds Hyderabad 2879,Food & Drinks
ID-Amazon Mumbai 2823,Shopping
BigBasket Delhi 4778 txn,Groceries
late payment fee hyderabad 2961,Banking Charges
Microsoft 365 Pune 2225,Online Services
Swiggy Mumbai 482,Food & Drinks
Airtel Recharge Bangalore 668,Bills & Recharge
DMart Kolkata 1452,Groceries
BigBasket Bangalore 3333,Groceries
HP Petrol Pump Hyderabad 4323,Fuel
BigBasketKolkata2445,Groceries
Microsoft 365 Delhi 3199,Online Services
Ub3r Hyd3rabad 3522,Travel
Hotstar Pun3 4279,Entertainment
flipkart mumbai 3975,Shopping
Max Hospital Chennai 3241,Medical
BookMyShow Mumbai 2545,Entertainment
Airtel Recharge Delhi 3085,Bills & Recharge
W@ter Bill Mumb@i 3821,Bills & Recharge
Starbucks Chennai 3629,Food & Drinks
CCD Pune 2790 txn,Food & Drinks
Tata Cliq Pune 990,Shopping
IndianOilMumbai2620,Fuel
BigBasket Pune 93,Groceries
BookMyShow Chennai 1527,Entertainment
Bank Service Charge Pune 1042,Banking Charges
Late Payment Fee Hyderabad 1614,Banking Charges
C@rd Annu@l Fee Kolk@t@ 4974,Banking Charges
Jio Recharge Kolkata 4759,Bills & Recharge
IRCTC Delhi 2840,Travel
BigBasket Chennai 3779,Groceries
NykaaHyderabad1649,Shopping
Shell Petrol Pump Mumbai 2621,Fuel
BigBasket Chennai 165,Groceries
Netflix Hyderabad 2957,Entertainment
BigBasket Kolkata 400,Groceries
Bharat Petroleum Delhi 1750,Fuel
Uber Mumbai 2613,Travel
Swiggy Hyderabad 4905,Food & Drinks
Fortis Pune 4670,Medical
KFC Delhi 1174,Food & Drinks
Netflix Bangalore 1767,Entertainment
Microsoft 365 Delhi 2195,Online Services
Apollo Pharmacy Mumbai 4875,Medical
Hotstar Mumbai 3423,Entertainment
Bharat Petroleum Chennai 2798,Fuel
CCD Mumbai 1167,Food & Drinks
Myntra Pune 354,Shopping
Tata Cliq Mumbai 4417,Shopping
Zomato Kolkata 1249,Food & Drinks
ID-Amazon Prime Delhi 2958,Entertainment
Apollo Pharmacy Kolkata 1786,Medical
BookMyShow Mumbai 1851,Entertainment
DMart Chennai 3434,Groceries
DMart Pune 3463,Groceries
C@rd Annu@l Fee B@ng@lore 1646,Banking Charges
Tata Cliq Bangalore 957,Shopping
Myntra Chennai 1020,Shopping
DMart Bangalore 4114,Groceries
RedBus Chennai 2781,Travel
PharmEasy Mumbai 3234,Medical
BookMyShow Delhi 4441,Entertainment
CCD Chennai 2519,Food & Drinks
Airtel Recharge Delhi 501,Bills & Recharge
RedBus Hyderabad 2104,Travel
Apollo Pharmacy Pune 1290,Medical
Jio Recharge Hyderabad 525,Bills & Recharge
Sh3ll P3trol Pump Mumbai 1523,Fuel
SpencersChennai330,Groceries
Apollo Pharmacy Kolkata 1338,Medical
Airtel Recharge Kolkata 521,Bills & Recharge
Max Hospital Mumbai 115,Medical
Water Bill Delhi 4891,Bills & Recharge
Indian Oil Pune 2891,Fuel
DMart Bangalore 343,Groceries
Late Payment Fee Bangalore 695,Banking Charges
Indian Oil Bangalore 1029,Fuel
1mg Bangalore 474,Medical
BigBasket Mumbai 4403,Groceries
Ola Hyderabad 797,Travel
R3dBus Hyd3rabad 4638,Travel
DMart Mumbai 106,Groceries
Reliance Fresh Hyderabad 3930,Groceries
Amazon Bangalore 2423,Shopping
RedBus Delhi 3667,Travel
ATM Withdrawal F33 D3lhi 298,Banking Charges
BigBasket Hyderabad 2333,Groceries
CanvaKolkata3036,Online Services
Shell Petrol Pump Hyderabad 479,Fuel
El3ctricity Bill Bangalor3 2142,Bills & Recharge
Spencers Pune 4897,Groceries
Ola Kolkata 3816,Travel
Google Cloud Bangalore 4775,Online Services
Electricity Bill Pune 2927,Bills & Recharge
Fortis Hyderabad 910,Medical
ID-Spencers Kolkata 2913,Groceries
Tata Cliq Chennai 786 txn,Shopping
Fortis Delhi 4941,Medical
Hotstar Delhi 4250,Entertainment
SwiggyMumbai3013,Food & Drinks
Microsoft 365 Hyderabad 2250,Online Services
Electricity Bill Mumbai 2817,Bills & Recharge
BigBasket Hyderabad 4141,Groceries
Hotst@r Pune 1169,Entertainment
HP Petrol Pump Delhi 914,Fuel
Google Cloud Pune 4848,Online Services
Card Annual Fee Mumbai 885,Banking Charges
Uber Mumbai 4977,Travel
Amazon Mumbai 4045,Shopping
Card Annual Fee Chennai 254,Banking Charges
SonyLiv Pune 2990,Entertainment
Late Payment Fee Kolkata 129,Banking Charges
Hotstar Mumbai 4028,Entertainment
ID-IndiGo Mumbai 3005,Travel
Zom@to Pune 2532,Food & Drinks
Swiggy Mumb@i 681,Food & Drinks
Max Hospital Pune 1604 txn,Medical
IndiGo Pune 1074 txn,Travel
Starbucks Chennai 2672,Food & Drinks
Amazon Hyderabad 1907,Shopping
Flipkart Hyderabad 4090,Shopping
Adobe Chennai 2694,Online Services
Water Bill Chennai 3911,Bills & Recharge
Bharat Petroleum Kolkata 734,Fuel
ID-Spencers Hyderabad 3618,Groceries
Airtel Recharge Mumbai 3375,Bills & Recharge
AmazonPrimeChennai2940,Entertainment
Late Payment Fee Kolkata 446,Banking Charges
KFC Hyderabad 2285,Food & Drinks
Late Payment Fee Kolkata 624,Banking Charges
Bh@r@t Petroleum Mumb@i 3703,Fuel
Bank Service Charge Hyderabad 4977,Banking Charges
Tata Cliq Delhi 4276,Shopping
KFC Hyderabad 2101,Food & Drinks
1mg Pune 893,Medical
HP Petrol Pump Chennai 3572,Fuel
Tata Cliq Hyderabad 865,Shopping
Jio Recharge Delhi 2761,Bills & Recharge
Flipkart Delhi 2084,Shopping
Myntra Chennai 493,Shopping
Ub3r Kolkata 2884,Travel
IRCTC Hyderabad 2014,Travel
Hotstar Kolkata 4906,Entertainment
Microsoft 365 Kolkata 3009,Online Services
Max Hospital Bangalore 2754,Medical
Zomato Bangalore 2403,Food & Drinks
Zoom Subscription Delhi 2150,Online Services
Burger King Mumbai 1964 txn,Food & Drinks
amazon prime pune 3247,Entertainment
SonyLiv Pune 1349,Entertainment
Tata Cliq Pune 2147,Shopping
Ajio Hyderabad 2451,Shopping
PharmEasy Delhi 4539,Medical
Amazon Prime Kolkata 1007,Entertainment
Netflix Hyderabad 1701,Entertainment
Indian Oil Mumbai 4368,Fuel
Bank Service Charge Delhi 3232,Banking Charges
amazon prime mumbai 3243,Entertainment
ID-Air India Pune 3537,Travel
Indian Oil Pune 2622,Fuel
Ola Chennai 3052 txn,Travel
Max Hospital Pune 205,Medical
IRCTC Mumbai 3865,Travel
Microsoft 365 Pune 3380,Online Services
BigBasket Delhi 253,Groceries
Starbucks Kolkata 450,Food & Drinks
Microsoft 365 Kolkata 2716,Online Services
BigBasket Chennai 4598,Groceries
SpencersMumbai567,Groceries
Microsoft 365 Kolkata 2005,Online Services
Water Bill Pune 858 txn,Bills & Recharge
Vodafone Bill Bangalore 3504,Bills & Recharge
Ola Hyderabad 406,Travel
Vodafone Bill Kolkata 3541,Bills & Recharge
Swiggy Delhi 568,Food & Drinks
Starbucks Delhi 1811,Food & Drinks
W@ter Bill Delhi 576,Bills & Recharge
SonyLiv Mumbai 1088,Entertainment
Burger King Mumbai 1405 txn,Food & Drinks
McDonalds Bangalore 2216,Food & Drinks
Nykaa Pune 2997,Shopping
Canva Pun3 3571,Online Services
IRCTC Bangalore 4162,Travel
Spencers Hyderabad 4044,Groceries
Starbucks Kolkata 2684,Food & Drinks
Hotstar Mumbai 3282,Entertainment
RedBus Kolkata 2056,Travel
CCD Hyderabad 2839,Food & Drinks
ID-1mg Chennai 2579,Medical
ATM Withdrawal Fee Mumbai 2530,Banking Charges
RedBus Bangalore 4832,Travel
Starbucks Chennai 4284,Food & Drinks
irctc chennai 4147,Travel
Bank Service Charge Mumbai 3910,Banking Charges
flipkart kolkata 4416,Shopping
BookMyShow Chennai 3527,Entertainment
BookMyShow Kolkata 1218,Entertainment
Myntra Pune 1043,Shopping
ATM Withdrawal Fee Mumbai 788,Banking Charges
Airtel Recharge Hyderabad 1408,Bills & Recharge
GoogleCloudPune1729,Online Services
Ajio Hyderabad 4959,Shopping
1mg Mumbai 1650,Medical
Electricity Bill Hyderabad 3169,Bills & Recharge
ID-Indian Oil Delhi 101,Fuel
Ola Mumbai 3311,Travel
ID-Zomato Delhi 3733,Food & Drinks
ID-Bank Service Charge Pune 2255,Banking Charges
Amazon Prime Kolkata 1991,Entertainment
1mg Mumbai 3034,Medical
Apollo Pharmacy Delhi 689 txn,Medical
Apollo Pharmacy Delhi 633,Medical
Fortis Bangalore 565,Medical
BurgerKingDelhi1205,Food & Drinks
Microsoft 365 Kolkata 1250,Online Services
Amazon Prime Mumbai 144,Entertainment
Vodafone Bill Pune 1249,Bills & Recharge
Microsoft 365 Bangalore 3298,Online Services
HP Petrol Pump Pune 3666,Fuel
R3dBus Bangalor3 2459,Travel
Reliance Fresh Chennai 1012,Groceries
Late Payment Fee Chennai 1295,Banking Charges
Sh3ll P3trol Pump Hyd3rabad 4525,Fuel
Google Cloud Delhi 2561,Online Services
Late Payment Fee Pune 4180,Banking Charges
ATM Withdrawal Fee Chennai 3638,Banking Charges
HP Petrol Pump Hyderabad 1802,Fuel
1mg Delhi 815,Medical
L@te P@yment Fee Pune 301,Banking Charges
Bharat Petroleum Hyderabad 4303,Fuel
Shell Petrol Pump Pune 3553,Fuel
Canva Mumbai 1715,Online Services
Zoom Subscription Hyderabad 754,Online Services
ID-PharmEasy Pune 3552,Medical
Bharat Petroleum Mumbai 4942 txn,Fuel
BigBasket Kolkata 2549,Groceries
